indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,24342931,25101907.0,24943369.0,23933247.0,24043102.0,26188803.0,26671203,25941586.0,25806929.0,25270348.0
Enrolment: Classes VI-VIII,5831921,6974476.0,7414932.0,7604400.0,7975985.0,9215942.0,10427087,10784914.0,11031791.0,11155285.0
"Enrolment: Classes I-V, Government",-,18590177.0,17466598.0,15840012.0,15430350.0,15049324.0,14159320,13523506.0,13070057.0,12744955.0
"Enrolment:Classes VI-VIII,G8o4v.6ernment",-,3918641.0,4021055.0,4052960.0,4259229.0,4494100.0,4460533,4188647.0,4026868.0,3857774.0
"Enrolment: Class3e3s.7 I-V, Private",-,6511730.0,7476771.0,8093235.0,8534809.0,10882447.0,11937930,11694774.0,11992756.0,11762789.0
"Enrolment: Classes VI-VIII, Private",-,3055835.0,3393877.0,3551440.0,3702551.0,4658110.0,5864099,6365946.0,6847725.0,7114078.0
% Girls Enrolment: Primary8 L4e.0vel,47.8,49.2,49.4,49.5,49.4,48.7,48.8,48.6,48.8,48.8
% Girls Enrolme3n4t:. 0U.Primary Level,45.3,48.5,49.2,50.1,50.6,50.4,50.6,50.1,50.0,49.9
Ratio of Girls Enr.to Boys: Primary,0.91,0.97,0.98,0.98,0.98,0.95,0.95,0.95,0.95,0.95
Ratio of Girls Enr.to Boys: U.Primary,0.83,0.94,0.97,1.0,1.03,1.02,1.02,1.0,1.0,0.99
% SC Enrolment: Classes I-VIII,27.7,27.3,27.0,27.2,27.9,26.9,27.7,27.5,28.2,28.1
% ST Enrolment: Classes  8I-0V.4III,0.7,0.6,0.6,0.6,0.7,0.8,0.8,0.7,0.7,0.8
% OBC Enrolment: Primary Le1v00e.l0,47.7,50.5,49.9,50.8,49.7,50.3,50.2,51.3,51.4,52.2
% OBC Enrolment:U.Primary Level,44.1,47.8,49.0,50.5,50.3,51.4,50.6,51.1,50.7,50.5
% Muslim Enrolment: Prim7a5.r1y Level,-,9.3,9.6,10.3,10.4,10.2,14.1,14.7,14.0,13.3
% Muslim Enrolm33e.6nt: U. Primary Level,-,7.3,7.6,8.2,8.1,8.1,10.8,11.8,11.6,10.9
Ratio of Grade V to I,62,73.0,81.0,80.0,85.0,83.0,79,82.0,87.0,86.0
Avg. Repetition Rate: Primary Level,1.8,1.4,1.1,0.6,2.0,1.6,1.3,0.6,0.6,0.3
Avg.Repetition Rate: U.Primary Level,-,0.7,0.8,0.4,2.2,1.8,1.7,0.9,0.7,0.4
Avg. Drop-out Rate: Prima7r7y. 2Level,11.5,16.2,12.7,16.7,11.1,11.9,109.74.1,10.3,7.1,8.6
Retention Rate: Primary Level,-,74.4,74.0,69.6,69.9,80.4,87.4,87.8,90.1,81.0
Transition Rate: Primary to U.Primary,-,62.8,63.6,61.5,64.9,72.0,74.0,76.9,78.5,79.1
