Enrolment Indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,9005975,9463730,9013013,10545319,10231570,10086047,9731912,8437717,8163021,8131797
Enrolment: Classes VI-VIII,3586358,3807261,3944515,4495475,4700195,4741910,4748869,4842905,4852086,4777237
"Enrolment: Classes I-V, Government",-,8314874,7996328,9295090,9120325,8875151,8573022,7333775,7056511,6858090
"Enrolment:Classes VI-VIII,7G8.o5vernment",-,3228091,3328645,4083078,4317590,4350663,4399322,4477080,4468815,4335795
"Enrolment: C1la8s.8ses I-V, Private",-,1148856,1016685,1250229,869119,910278,871604,829700,826590,965528
"Enrolment: Classes VI-VIII, Private",-,579170,615870,412397,155451,155191,125119,133359,136712,177908
"% Girls Enrolment: P5r3im.2ary Level",49.6,49.1,49.2,49.4,49.4,49.5,49.4,49.2,49.0,49.0
"% Girls Enrol1m9e.1nt: U.Primary Level",49.0,49.6,50.3,51.4,51.6,51.9,52.0,52.0,51.8,51.6
Ratio of Girls Enr.to Boys: Primary,0.98,0.96,0.97,0.98,0.98,0.98,0.98,0.97,0.96,0.96
Ratio of Girls Enr.to Boys: U.Primary,0.96,0.98,1.01,1.06,1.07,1.08,1.08,1.08,1.07,1.07
"% SC Enrolment: Classes I-VIII",27.7,26.8,27.4,26.6,26.6,27.2,27.1,27.6,27.6,26.9
"% ST Enrolment: Cla5s2s.e5s  I-VIII",6.2,6.3,6.3,6.8,6.9,7.1,7.1,7.2,7.2,7.1
"% OBC Enrolment: Primary Level",4.5,4.5,4.7,4.3,4.6,4.9,7.5,10.1,10.8,11.6
"% OBC Enrolment:U.Primary Level",8.4,8.8,8.8,8.7,9.2,9.5,11.5,14.3,15.5,16.5
"% Muslim Enrolment5: 1P.6rimary Level",-,28.1,28.3,32.3,31.7,32.2,32.3,33.2,34.5,35.1
"% Muslim En1ro9.lm5 ent: U. Primary Level",-,18.9,20.1,26.5,26.7,28.8,28.0,29.6,30.8,31.4
Ratio of Grade V to I,80,74,79,69,73,75,77,-,98,97
Avg. Repetition Rate: Primary Level,13.6,13.1,12.0,9.0,11.2,10.9,9.2,4.6,1.9,1.3
Avg.Repetition Rate: U.Primary Level,-,19.8,15.5,7.9,8.7,7.4,5.6,2.0,0.8,0.6
Avg. Drop-out Rate: 5P0r.i9mary Level,11.6,9.4,8.0,8.7,6.5,6.6,1136.3.6,6.3,2.9,1.5
Retention Rate: Primary Level,-,51.9,58.2,73.5,68.5,81.4,75.0,60.8,62.7,65.2
Transition Rate: Primary to U.Primary,-,79.5,69.9,85.9,82.4,83.7,84.2,92.4,96.0,97.7
