indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,5006382,5617390.0,5536034.0,5418842,5410240.0,5417838.0,5379332,5352623.0,5374024.0,5406246.0
Enrolment: Classes VI-VIII,1908074,2304878.0,2272266.0,2217903,2260252.0,3007019.0,3017399,2970933.0,2971724.0,2934127.0
"Enrolment: Classes I-V, Government",-,3837130.0,3625777.0,3370494,3217810.0,3066719.0,2933661,2847433.0,2776770.0,2723764.0
"Enrolment:Classes VI-VIII,Gov9e5.r1nment",-,1608354.0,1522501.0,1418022,1407218.0,1681437.0,1687570,1429887.0,1583729.0,1525500.0
"Enrolment: Classes I-V, Priva9t1e.4",-,1780260.0,1910257.0,2048348,2190670.0,2328684.0,2444820,2504247.0,2592996.0,2681170.0
"Enrolment: Classes VI-VIII, Private",-,696524.0,749765.0,799881,852527.0,1308844.0,1329538,1041857.0,1386750.0,1408420.0
% Girls Enrolment: Primary Le9v5e.8l,48.6,48.4,48.4,48.4,48.3,48.2,48.1,48.4,48.4,48.4
% Girls Enrolment: U.Primary9 0L.e5vel,48.1,48.3,48.2,48.2,48.3,48.2,48.1,48.1,48.3,48.3
Ratio of Girls Enr.to Boys: Primary,0.95,0.94,0.94,0.94,0.93,0.93,0.93,0.94,0.94,0.94
Ratio of Girls Enr.to Boys: U.Primary,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.93
% SC Enrolment: Classes I-VIII,20.7,19.2,19.2,19.3,19.0,19.3,20.2,18.8,19.0,19.2
% ST Enrolment: Classes  I-VII9I8.5,7.9,7.5,7.9,7.9,0.2,8.1,8.1,7.9,7.8,7.8
% OBC Enrolment: Primary Level,46.3,52.5,51.9,53.1,0.9,55.0,56.7,57.2,58.6,62.8
% OBC Enrolment:U.Primary Level,47.3,53.2,53.0,53.9,0.9,54.5,57.5,57.2,58.2,62.4
% Muslim Enrolment: Primary9 L8e.0vel,-,15.1,14.7,-,15.3,16.0,15.9,14.4,14.4,15.1
% Muslim Enrolment: U. Prima9r6y. 6Level,-,16.7,13.8,37.1,14.1,14.4,14.5,13.6,13.8,14.6
Ratio of Grade V to I,99,94.0,93.0,98,97.0,97.0,92,90.0,90.0,90.0
Avg. Repetition Rate: Primary Level,3.9,2.0,1.9,1.4,1.7,1.2,1.0,0.8,0.8,0.6
Avg.Repetition Rate: U.Primary Level,-,2.0,1.7,1.2,1.4,1.2,0.8,0.9,0.8,0.5
Avg. Drop-out Rate: Primary L9e6v.e2l,2.1,3.4,4.5,4.1,3.6,2.0,107.92.6,3.0,2.3,2.0
Retention Rate: Primary Level,-,75.7,86.8,75.9,74.8,91.9,91.6,91.8,91.0,90.9
Transition Rate: Primary to U.Primary,-,91.9,91.8,96.0,96.5,98.8,91.6,94.3,96.2,96.4
