indicators,2005-06,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Enrolment: Classes I-V,953477,1056943,1075825.0,1044735.0,1084260.0,1091485.0,1086082,1117123.0,1122802.0,1115208.0
Enrolment: Classes VI-VIII,394219,476069,522647.0,534994.0,554232.0,567433.0,582381,587767.0,584655.0,597465.0
"Enrolment: Classes I-V, Government",-,757217,721382.0,656353.0,615283.0,575848.0,548191,526354.0,495672.0,469438.0
"Enrolment:Classes VI-VIII,8G0o.5vernment",-,326750,342861.0,335334.0,325949.0,316850.0,316484,305986.0,295771.0,287771.0
"Enrolment: Classe4s3 I.-6V, Private",-,299726,354443.0,388382.0,437873.0,472646.0,511465,564311.0,592112.0,604750.0
"Enrolment: Classes VI-VIII, Private",-,149319,179786.0,199660.0,224122.0,239685.0,262351,277713.0,283495.0,302326.0
% Girls Enrolment: Primary8 L4e.4vel,49.5,48.8,48.3,48.1,47.7,47.4,47.5,47.3,47.2,47.2
% Girls Enrolment:4 2U..9Primary Level,48.8,48.8,48.6,48.8,48.6,48.4,48.6,48.1,48.0,47.8
Ratio of Girls Enr.to Boys: Primary,0.98,0.95,0.93,0.93,0.91,0.9,0.90,0.9,0.89,0.89
Ratio of Girls Enr.to Boys: U.Primary,0.95,0.95,0.95,0.95,0.94,0.94,0.95,0.92,0.92,0.92
% SC Enrolment: Classes I-VIII,26.1,26.2,26.1,25.8,25.8,25.7,24.8,24.3,24.1,24.1
% ST Enrolment: Classes  I8-V3.I5II,3.9,3.8,3.5,3.0,3.4,3.1,3.2,3.1,2.9,2.9
% OBC Enrolment: Primary Level,21.7,23.6,25.5,24.5,26.1,27.6,27.4,28.5,29.6,29.9
% OBC Enrolment:U.Primary Level,14.0,16.8,18.7,18.8,19.9,20.8,21.4,22.2,23.1,23.9
% Muslim Enrolment: Prima80ry.4 Level,-,14.8,13.8,15.4,17.1,17.6,16.1,15.2,16.5,16.4
% Muslim Enrolme4n5t:. 8U. Primary Level,-,8.1,7.4,8.9,10.2,11.0,11.0,10.7,11.5,11.5
Ratio of Grade V to I,67,78,80.0,82.0,80.0,81.0,86,88.0,91.0,89.0
Avg. Repetition Rate: Primary Level,7.4,5.7,4.5,3.7,5.3,4.9,1.1,0.5,0.9,0.6
Avg.Repetition Rate: U.Primary Level,-,5.9,3.9,3.3,3.3,2.3,0.7,0.5,0.8,0.6
Avg. Drop-out Rate: Primary8 L5.e5vel,14.1,6.9,7.0,9.9,5.8,4.9,109.4.3,1.2,3.1,4.0
Retention Rate: Primary Level,-,73.1,76.0,80.6,92.7,82.3,83.3,89.0,85.5,86.2
Transition Rate: Primary to U.Primary,-,-,94.5,91.8,95.2,92.8,95.0,95.9,92.8,93.5
